..71.6..24...9......128.63.2..315.6.93.47.....58...7.3....4752.6.5..19.......238.| Easy                    
.2.9..83...7..4..6..5..1.9..3.2....4..6.7.5..1...89.2..4.3..1..8..7..6...72..6.4.| 2101 medium .           
.17..3.6...2.8..546...2...9..31...7..8.9...2346......11..37.8....4.651..9........| Easy                    
..3.2.6..9..3.5..1..18.64....81.29..7.......8..67.82....26.95..8..2.3..9..5.1.3..| From https://github.com/
.1...8.5..6..4.7.......2..9.3...1.8.7...6...2.5.97..4.8..3.......9.1..6..4.5...7.| 2125 medium .           
..5.91..6....57.9..93.287..2..7.93...391.5.7...62839.43.457.8.958.91....9..83.5..| Hard                    
.9..3.6......7.2....48....51..5...8...7...9...3...6..42....17....8.2......6.5..9.| 2151 medium .           
3....87.......9..41...6...2..5.23.8..7...4.9..6...15..8...5...67..1.......98....5|                         
...3..67.5..4..8..628...3.....2.4.37.........41.7.5.....2...961..6..1..4.84..9...| Medium                  
.6...39..5..1.....8.......7.4.2..6..7.......8..3..9.1.2.......5.....4..3..87...2.|      hard   .           
5.64....2.7..9..5.8...5.7..7....3....89.6.37....5....1..3.4...6.5..2..4.9....51.7| A test board fro solve.c
85...24..72......9..4.........1.7..23.5...9...4...........8..7..17..........36.4.| From https://github.com/
.32.....5.8..3....9.428...1...4...39...6...5.....1.....2...67.8.....4....95....6.|                         
7..1523........92....3.....1....47.8.......6............9...5.6.4.9.7...8....6.1.| From https://github.com/
7....9.8......6.5..2...14...3.2....7.4.....6.8...5..9...13...2..6.4......8.1....5| 3125 hard               
......52..8.4......3...9...5.1...6..2..7........3.....6...1..........7.4.......3.| From https://github.com/
6.......9.8...75..3...2....4......1...75..8...9..3...2....6...3..14...8.5.......6| 3135 hard               
4.....5.8.3..........7......2.....6.....5.8......1.......6.3.7.5..2.....1.8......| From https://github.com/
..5.2.9.....3.8...2.......4.1.7.4.9.5...3...8.7.9.6.5.6.......1...1.5.....3.7.8..| Diabolic 11/2 DS        
4.....3.....8.2......7........1...8734.......6........5...6........1.4...82......| From https://github.com/
..3.9.7.....5.4...1.......6.6.9.1.5.7...8...3.1.4.7.6.2.......8...3.9.....7.2.9..| Hard 11/2 DS            
..2...6..5....8.....39...1.4.......7.1...5.8.6...3...2.7...19.....4....3..9...8..| 3150 hard   .           
2.3.8....8..7...........1...6.5.7...4......3....1............82.5....6...1.......| From https://github.com/
4.....8.5.3..........7......2.....6.....8.4......1.......6.3.7.5..2.....1.4......| From https://github.com/
.8..4....3......1........2...5...4.69..1..8..2...........3.9....6....5.....2.....| From https://github.com/
4.....8.5.3..........7......2.....6.....5.4......1.......6.3.7.5..2.....1.9......| From https://github.com/
6.....7.3.4.8.................5.4.8.7..2.....1.3.......2.....5.....7.9......1....| From https://github.com/
52...6.........7.13...........4..8..6......5...........418.........3..2...87.....| From https://github.com/
6.....8.3.4.7.................5.4.7.3..2.....1.6.......2.....5.....8.6......1....| From https://github.com/
.......71.2.8........4.3...7...6..5....2..3..9........6...7.....8....4......5....| From https://github.com/
45.....3....8.1....9...........5..9.2..7.....8.........1..4..........7.2...6..8..| From https://github.com/
1.....3.8.6.4..............2.3.1...........958.........5.6...7.....8.2...4.......| From https://github.com/
